Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Complex-Valued Convolution and Frequency Global Filter for Automatic Modulation Recognition,Q. Luo; M. -M. Zhao; Z. Chen; Z. Su; M. -J. Zhao,"College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China",IEEE Communications Letters,11 Jul 2023,2023,27,7.0,1779,1783,"Automatic modulation recognition (AMR) plays an important role in cognitive radio and dynamic spectrum access, which has been widely applied in military and civilian applications. Due to the breakthroughs in deep learning (DL), DL-based AMR methods are becoming extremely popular. However, most existing DL-based methods are unable to deal with complex format data, and learning the mappings from the time series or its transformed representation to the true modulation type directly is difficult. To address these difficulties, this letter presents a complex-valued convolution and frequency global filter unit (CGFU), and proposes a hybrid neural network, namely CGF-HNN, which can efficiently exploit features from different domains. We evaluate the recognition performance of the proposed model on two well-known datasets, i.e., RML2016.10a and RML2018.01a. Simulation results show that the proposed model outperforms the existing state-of-the-art models.",1558-2558,,10.1109/LCOMM.2023.3271633,National Natural Science Foundation of China(grant numbers:62001417); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10113217,Automatic modulation recognition;deep learning;complex-valued convolution;frequency global filter,Convolution;Modulation;Feature extraction;Frequency-domain analysis;Frequency modulation;Information filters;Training data,,1.0,,20.0,IEEE,1 May 2023,,,IEEE,IEEE Journals
Defending AI-Based Automatic Modulation Recognition Models Against Adversarial Attacks,H. Tang; F. O. Catak; M. Kuzlu; E. Catak; Y. Zhao,"Department of Electrical and Computer Engineering, Virginia Commonwealth University, Richmond, VA, USA; Department of Electrical Engineering and Computer Science, University of Stavanger, Stavanger, Norway; Department of Engineering Technology, Old Dominion University, Norfolk, VA, USA; Independent Researcher, Stavanger, Norway; Department of Electrical and Computer Engineering, Virginia Commonwealth University, Richmond, VA, USA",IEEE Access,31 Jul 2023,2023,11,,76629,76637,"Automatic Modulation Recognition (AMR) is one of the critical steps in the signal processing chain of wireless networks, which can significantly improve communication performance. AMR detects the modulation scheme of the received signal without any prior information. Recently, many Artificial Intelligence (AI) based AMR methods have been proposed, inspired by the considerable progress of AI methods in various fields. On the one hand, AI-based AMR methods can outperform traditional methods in terms of accuracy and efficiency. On the other hand, they are susceptible to new types of cyberattacks, such as model poisoning or adversarial attacks. This paper explores the vulnerabilities of an AI-based AMR model to adversarial attacks in both single-input-single-output and multiple-input-multiple-output scenarios. We show that these attacks can significantly reduce the classification performance of the AI-based AMR model, which highlights the security and robustness concerns. Therefore, we propose a widely used mitigation method (i.e., defensive distillation) to reduce the vulnerabilities of the model against adversarial attacks. The simulation results indicate that the AI-based AMR model can be highly vulnerable to adversarial attacks, but their vulnerabilities can be significantly reduced by using mitigation methods.",2169-3536,,10.1109/ACCESS.2023.3296805,"Commonwealth Cyber Initiative (CCI), an investment in the advancement of Cyber Research and Development, Innovation, and Workforce Development in Virginia; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10187134,Artificial intelligence;next-generation networks;automatic modulation recognition;adversarial attacks;model poisoning;defensive distillation,Perturbation methods;Modulation;Feature extraction;Solid modeling;Computational modeling;Iterative methods;Training;Artificial intelligence;Next generation networking;Generative adversarial networks,,1.0,,23.0,CCBYNCND,19 Jul 2023,,,IEEE,IEEE Journals
Real-Time Multi-Task Facial Analytics With Event Cameras,C. Ryan; A. Elrasad; W. Shariff; J. Lemley; P. Kielty; P. Hurney; P. Corcoran,"Sensing Team, Xperi Inc., Galway, Ireland; Sensing Team, Xperi Inc., Galway, Ireland; Sensing Team, Xperi Inc., Galway, Ireland; Sensing Team, Xperi Inc., Galway, Ireland; Department of Electronic Engineering, College of Science and Engineering, National University of Ireland Galway, Galway, Ireland; Sensing Team, Xperi Inc., Galway, Ireland; Department of Electronic Engineering, College of Science and Engineering, National University of Ireland Galway, Galway, Ireland",IEEE Access,31 Jul 2023,2023,11,,76964,76976,"Event cameras, unlike traditional frame-based cameras, excel in detecting and reporting changes in light intensity on a per-pixel basis. This unique technology offers numerous advantages, including high temporal resolution, low latency, wide dynamic range, and reduced power consumption. These characteristics make event cameras particularly well-suited for sensing applications such as monitoring drivers or human behavior. This paper presents a feasibility study on the using a multitask neural network with event cameras for real-time facial analytics. Our proposed network simultaneously estimates head pose, eye gaze, and facial occlusions. Notably, the network is trained on synthetic event camera data, and its performance is demonstrated and validated using real event data in real-time driving scenarios. To compensate for global head motion, we introduce a novel event integration method capable of handling both short and long-term temporal dependencies. The performance of our facial analytics method is quantitatively evaluated in both controlled lab environments and unconstrained driving scenarios. The results demonstrate that useful accuracy and computational speed is achieved by the proposed method to determining head pose and relative eye-gaze direction. This shows that neuromorphic facial analytics can be realized in real-time and are well-suited for edge/embedded computing deployments. While the improvement ratio in comparison to existing literature may not be as favorable due to the unique event-based vision approach employed, it is crucial to note that our research focuses specifically on event-based vision, which offers distinct advantages over traditional RGB vision. Overall, this study contributes to the emerging field of event-based vision systems and highlights the potential of multitask neural networks combined with event cameras for real-time sensing of human subjects. These techniques can be applied in practical applications such as driver monitoring systems, interactive human-computer systems and for human behavior analysis.",2169-3536,,10.1109/ACCESS.2023.3297500,"Sensing Team, Xperi Galway; Irish Research Council(grant numbers:EBPPG/2022/17); University of Galway and Xperi Inc.; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10188686,Event camera;neuromorphic sensing;driver monitoring system (DMS);head pose;eye gaze;facial occlusion,Cameras;Monitoring;Multitasking;Intelligent vehicles;Real-time systems;Task analysis;Event detection;Neuromorphic engineering;Advanced driver assistance systems;Pose estimation;Gaze tracking,,8.0,,57.0,CCBYNCND,20 Jul 2023,,,IEEE,IEEE Journals
Offloading Algorithms for Maximizing Inference Accuracy on Edge Device in an Edge Intelligence System,A. Fresa; J. P. Champati,"Edge Networks Group, IMDEA Networks Institute, Leganés, Madrid, Spain; Edge Networks Group, IMDEA Networks Institute, Leganés, Madrid, Spain",IEEE Transactions on Parallel and Distributed Systems,24 May 2023,2023,34,7.0,2025,2039,"With the emergence of edge computing, the problem of offloading jobs between an Edge Device (ED) and an Edge Server (ES) received significant attention in the past. Motivated by the fact that an increasing number of applications are using Machine Learning (ML) inference from the data samples collected at the EDs, we study the problem of offloading inference jobs by considering the following novel aspects: 1) in contrast to a typical computational job, the processing time of an inference job depends on the size of the ML model, and 2) recently proposed Deep Neural Networks (DNNs) for resource-constrained devices provide the choice of scaling down the model size by trading off the inference accuracy. Considering that multiple ML models are available at the ED, and a powerful ML model is available at the ES, we formulate an Integer Linear Programming (ILP) problem with the objective of maximizing the total inference accuracy of $n$n data samples at the ED subject to a time constraint $T$T on the makespan. Noting that the problem is NP-hard, we propose an approximation algorithm Accuracy Maximization using LP-Relaxation and Rounding (AMR$^{2}$2) and prove that it results in a makespan at most $\text{2}T$2T and achieves a total accuracy that is lower by a small constant from the optimal total accuracy implying that AMR$^{2}$2 is asymptotically optimal. Further, if the data samples are identical we propose Accuracy Maximization using Dynamic Programming (AMDP), an optimal pseudo-polynomial time algorithm. Furthermore, we extend AMR$^{2}$2 for the case of multiple ESs, where each ES is equipped with a powerful ML model. As proof of concept, we implemented AMR$^{2}$2 on a Raspberry Pi, equipped with MobileNets, that is connected to a server equipped with ResNet, and studied the total accuracy and makespan performance of AMR$^{2}$2 for image classification.",1558-2183,,10.1109/TPDS.2023.3267458,European Commission(grant numbers:101062011); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10105465,Approximation algorithms;deep learning;edge computing;linear programming;machine learning,Data models;Computational modeling;Inference algorithms;Costs;Servers;Approximation algorithms;Scheduling,,,,39.0,IEEE,19 Apr 2023,,,IEEE,IEEE Journals
Convolutional Neural Network Assisted Transformer for Automatic Modulation Recognition Under Large CFOs and SROs,R. Zeng; Z. Lu; X. Zhang; J. Wang; J. Wang,"Department of Electronic Engineering, Tsinghua University, Beijing, China; Lab for High Technology, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China",IEEE Signal Processing Letters,12 Mar 2024,2024,31,,741,745,"Automatic modulation recognition (AMR) has received widespread attention as a crucial aspect of non-cooperative communication. Despite this, large carrier frequency offsets (CFOs) and sample rate offsets (SROs) caused by inaccurate parameter estimation at the receiver are harmful to the recognition accuracy, which is still to be addressed. In this letter, we focus on intelligent modulation recognition tasks under such offsets. A novel transformer-based method named TransGroupNet is designed that can extract deep features of signals from the instantaneous amplitude, phase, and frequency (APF) domain. In addition, lightweight group convolution layers are added ahead of the transformer blocks for better feature preprocessing. Simulations demonstrate that the proposed TransGroupNet achieves better recognition accuracy under large offsets compared with the previous state-of-the-art methods, even though these methods adopt correction modules (CM) to address such offsets.",1558-2361,,10.1109/LSP.2024.3372770,"National Key Research and Development Program of China(grant numbers:2021YFA0716602); Science, Technology and Innovation Commission of Shenzhen Municipality(grant numbers:JSGG20211029095003004); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10458301,Automatic modulation recognition;carrier frequency offsets;sample rate offsets;transformer;group convolution,Transformers;Convolution;Modulation;Feature extraction;Task analysis;Receivers;Frequency modulation,,,,18.0,IEEE,5 Mar 2024,,,IEEE,IEEE Journals
Self-Supervised RF Signal Representation Learning for NextG Signal Classification With Deep Learning,K. Davaslioglu; S. Boztaş; M. C. Ertem; Y. E. Sagduyu; E. Ayanoglu,"Department of Applied Research and Engineering Division, University Technical Services Inc., Greenbelt, MD, USA; Department of Applied Research and Engineering Division, University Technical Services Inc., Greenbelt, MD, USA; Department of Applied Research and Engineering Division, University Technical Services Inc., Greenbelt, MD, USA; National Security Institute, Virginia Tech, Arlington, VA, USA; Center for Pervasive Communications and Computing, University of California Irvine, Irvine, CA, USA",IEEE Wireless Communications Letters,6 Jan 2023,2023,12,1.0,65,69,"Deep learning (DL) finds rich applications in the wireless domain to improve spectrum awareness. Typically, DL models are either randomly initialized following a statistical distribution or pretrained on tasks from other domains in the form of transfer learning without accounting for the unique characteristics of wireless signals. Self-supervised learning (SSL) enables the learning of useful representations from Radio Frequency (RF) signals themselves even when only limited training data samples with labels are available. We present a self-supervised RF signal representation learning method and apply it to the automatic modulation recognition (AMR) task by specifically formulating a set of transformations to capture the wireless signal characteristics. We show that the sample efficiency (the number of labeled samples needed to achieve a certain performance) of AMR can be significantly increased (almost an order of magnitude) by learning signal representations with SSL. This translates to substantial time and cost savings. Furthermore, SSL increases the model accuracy compared to the state-of-the-art DL methods and maintains high accuracy when limited training data is available.",2162-2345,,10.1109/LWC.2022.3217292,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9930826,Automatic modulation recognition;wireless signal classification;contrastive learning;deep learning;self-supervised learning;spectrum awareness,Task analysis;Wireless communication;Modulation;Wireless sensor networks;Radio frequency;Signal to noise ratio;Semantics,,6.0,,22.0,IEEE,26 Oct 2022,,,IEEE,IEEE Journals
Deployment of Unmanned Aerial Vehicles in Next-Generation Wireless Communication Network Using Multi-Agent Reinforcement Learning,R. Sharma; S. Raj Chopra; A. Gupta; R. Kaur; S. Tanwar; G. Pau; G. Sharma; F. Alqahtani; A. Tolba,"School of Electronics and Electrical Engineering, Lovely Professional University, Phagwara, Punjab, India; School of Electronics and Electrical Engineering, Lovely Professional University, Phagwara, Punjab, India; School of Electronics and Electrical Engineering, Lovely Professional University, Phagwara, Punjab, India; Department of Electronics Technology, Guru Nanak Dev University, Amritsar, Punjab, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Gujarat, India; Faculty of Engineering and Architecture, Kore University of Enna, Enna, Italy; Department of Electrical Engineering Technology, University of Johannesburg, Johannesburg 2006, South Africa; Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Computer Science, Community College, King Saud University, Riyadh, Saudi Arabia",IEEE Access,21 May 2024,2024,12,,69517,69538,"To address the challenges posed by a large number of disaster-waiver-affected users and the complexities of scaling centralized algorithms for rapidly restoring emergency communication services, the paper proposes a distributed intent-based optimization architecture based on multi-agent reinforcement learning. This approach aims to mitigate service discrepancies and dynamics among users. In the network feature layer, a distributed K-sums clustering algorithm considers variations in user services. Each UAV base station autonomously and minimally adjusts the local network structure based on user requirements. It selects user features from the cluster center as input states for the multi-agent reinforcement learning neural network. In the trajectory regulation layer, the paper introduces a multi-agent maximum entropy reinforcement learning (MASAC) algorithm. The UAV base station, acting as an intelligent node, governs its flight trajectory within the framework of “distributed training – distributed execution.” The paper incorporates techniques such as integrated learning and curriculum learning to enhance training stability and convergence speed. Simulation results demonstrate the effectiveness of our distributed K-sums clustering algorithm in terms of load efficiency and cluster balance, outperforming the traditional K-means algorithm. Additionally, the UAV base station trajectory control algorithm based on MASAC significantly reduces communication interruptions, enhances network spectral efficiency, and surpasses existing reinforcement learning methods.",2169-3536,,10.1109/ACCESS.2024.3401016,"Researchers Supporting Project through King Saud University, Riyadh, Saudi Arabia(grant numbers:RSPD2024R681); Università degli Studi di Enna Kore; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10530332,Unmanned aerial vehicles;disaster;integrated learning;spectral efficiency,Autonomous aerial vehicles;Base stations;Optimization;Trajectory;Clustering algorithms;Disasters;Heuristic algorithms;Disaster management;Spectral analysis,,,,27.0,CCBYNCND,14 May 2024,,,IEEE,IEEE Journals
MEGR-APT: A Memory-Efficient APT Hunting System Based on Attack Representation Learning,A. Aly; S. Iqbal; A. Youssef; E. Mansour,"Department of Computer Science and Software Engineering, Concordia University, Montreal, QC, Canada; National Research Council Canada, Fredericton, NB, Canada; Concordia Institute for Information Systems Engineering, Concordia University, Montreal, QC, Canada; Department of Computer Science and Software Engineering, Concordia University, Montreal, QC, Canada",IEEE Transactions on Information Forensics and Security,13 May 2024,2024,19,,5257,5271,"The stealthy and persistent nature of Advanced Persistent Threats (APTs) makes them one of the most challenging cyber threats to uncover. Several systems adopted the development of provenance-graph-based security solutions to capture this persistent nature. Provenance graphs (PGs) represent system audit logs by connecting system entities using causal relations and information flows. Hunting APTs demands the processing of ever-growing large-scale PGs of audit logs for a wide range of activities over months or years, i.e., multi-terabyte graphs. Existing APT hunting systems are typically memory-based, which suffers colossal memory consumption, or disk-based, which suffers from performance hits. Therefore, these systems are hard to scale in terms of graph size or time performance. In this paper, we propose MEGR-APT, a scalable APT hunting system to discover suspicious subgraphs matching an attack scenario (query graph) published in Cyber Threat Intelligence (CTI) reports. MEGR-APT hunts APTs in a twofold process: (i) memory-efficient extraction of suspicious subgraphs as search queries over a graph database, and (ii) fast subgraph matching based on graph neural network (GNN) and our effective attack representation learning. We compared MEGR-APT with state-of-the-art (SOTA) APT systems using popular APT benchmarks, such as DARPA TC3 and OpTC. We also tested it using a real enterprise dataset. MEGR-APT achieves an order of magnitude reduction in memory consumption while achieving comparable performance to SOTA in terms of time and accuracy.",1556-6021,,10.1109/TIFS.2024.3396390,Natural Sciences and Engineering Research Council of Canada (NSERC); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10517754,GNN-based APT hunting;provenance graphs,Representation learning;Memory management;Resource description framework;Load modeling;Cyber threat intelligence;Databases;Costs,,,,68.0,IEEE,2 May 2024,,,IEEE,IEEE Journals
Convolutional Neural Network Assisted Transformer for Automatic Modulation Recognition Under Large CFOs and SROs,R. Zeng; Z. Lu; X. Zhang; J. Wang; J. Wang,"Department of Electronic Engineering, Tsinghua University, Beijing, China; Lab for High Technology, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China",IEEE Signal Processing Letters,12 Mar 2024,2024,31,,741,745,"Automatic modulation recognition (AMR) has received widespread attention as a crucial aspect of non-cooperative communication. Despite this, large carrier frequency offsets (CFOs) and sample rate offsets (SROs) caused by inaccurate parameter estimation at the receiver are harmful to the recognition accuracy, which is still to be addressed. In this letter, we focus on intelligent modulation recognition tasks under such offsets. A novel transformer-based method named TransGroupNet is designed that can extract deep features of signals from the instantaneous amplitude, phase, and frequency (APF) domain. In addition, lightweight group convolution layers are added ahead of the transformer blocks for better feature preprocessing. Simulations demonstrate that the proposed TransGroupNet achieves better recognition accuracy under large offsets compared with the previous state-of-the-art methods, even though these methods adopt correction modules (CM) to address such offsets.",1558-2361,,10.1109/LSP.2024.3372770,"National Key Research and Development Program of China(grant numbers:2021YFA0716602); Science, Technology and Innovation Commission of Shenzhen Municipality(grant numbers:JSGG20211029095003004); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10458301,Automatic modulation recognition;carrier frequency offsets;sample rate offsets;transformer;group convolution,Transformers;Convolution;Modulation;Feature extraction;Task analysis;Receivers;Frequency modulation,,,,18.0,IEEE,5 Mar 2024,,,IEEE,IEEE Journals
TransAMR: An Interpretable Transformer Model for Accurate Prediction of Antimicrobial Resistance Using Antibiotic Administration Data,M. Tharmakulasingam; W. Wang; M. Kerby; R. L. Ragione; A. Fernando,"Centre for Vision, Speech and Signal Processing, University of Surrey, Guildford, U.K.; Centre for Vision, Speech and Signal Processing, University of Surrey, Guildford, U.K.; Synergy Farm Health Ltd., Maiden Newton, Dorset, U.K.; School of Veterinary Medicine, University of Surrey, Guildford, U.K.; Department of Computer and Information Sciences, University of Strathclyde, Glasgow, U.K.",IEEE Access,26 Jul 2023,2023,11,,75337,75350,"Antimicrobial Resistance (AMR) is a growing public and veterinary health concern, and the ability to accurately predict AMR from antibiotics administration data is crucial for effectively treating and managing infections. While genomics-based approaches can provide better results, sequencing, assembling, and applying Machine Learning (ML) methods can take several hours. Therefore, alternative approaches are required. This study focused on using ML for antimicrobial stewardship by utilising data extracted from hospital electronic health records, which can be done in real-time, and developing an interpretable 1D-Transformer model for predicting AMR. A multi-baseline Integrated Gradient pipeline was also incorporated to interpret the model, and quantitative validation metrics were introduced to validate the model. The performance of the proposed 1D-Transformer model was evaluated using a dataset of urinary tract infection (UTI) patients with four antibiotics. The proposed 1D-Transformer model achieved 10% higher area under curve (AUC) in predicting AMR and outperformed traditional ML models. The Explainable Artificial Intelligence (XAI) pipeline also provided interpretable results, identifying the signatures contributing to the predictions. This could be used as a decision support tool for personalised treatment, introducing AMR-aware food and management of AMR, and it could also be used to identify signatures for targeted interventions.",2169-3536,,10.1109/ACCESS.2023.3296221,University of Surrey; Zoetis through the vHive Initiative; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10185002,Transformer;multi-drug AMR;antimicrobial stewardship;missing labels;XAI;multi-label prediction,Antibiotics;Predictive models;Data models;Immune system;Prediction algorithms;Computational modeling;Transformers,,,,35.0,CCBY,17 Jul 2023,,,IEEE,IEEE Journals
Abandon Locality: Frame-Wise Embedding Aided Transformer for Automatic Modulation Recognition,Y. Chen; B. Dong; C. Liu; W. Xiong; S. Li,"National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China",IEEE Communications Letters,6 Jan 2023,2023,27,1.0,327,331,"Automatic modulation recognition (AMR) has been considered as an efficient technique for non-cooperative communication and intelligent communication. In this work, we propose a modified transformer-based method for AMR, called frame-wise embedding aided transformer (FEA-T), aiming to extract the global correlation feature of the signal to obtain higher classification accuracy as well as lower time cost. To enhance the global modeling capability of the transformer, we design a frame-wise embedding module (FEM) to aggregate more samples into a token in the embedding stage to generate a more efficient token sequence. We also present the optimal frame length by analyzing the representation ability of each transformer layer for a better trade-off between the speed and the performance. Moreover, we design a novel dual-branch gate linear unit (DB-GLU) scheme for the feed-forward network of the transformer to reduce the model size and enhance the performance. Experimental results on RadioML2018.01A datasets demonstrate that the proposed method outperforms state-of-the-art works in terms of recognition accuracy and running speed.",1558-2558,,10.1109/LCOMM.2022.3213523,National Key Research and Development Program of China(grant numbers:2020YFB1807700); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9915584,Automatic modulation recognition;deep learning;transformer,Transformers;Feature extraction;Task analysis;Modulation;Finite element analysis;Symbols;Costs,,8.0,,18.0,IEEE,10 Oct 2022,,,IEEE,IEEE Journals
A Transformer-Based Contrastive Semi-Supervised Learning Framework for Automatic Modulation Recognition,W. Kong; X. Jiao; Y. Xu; B. Zhang; Q. Yang,"State Key Laboratory on ISN, School of Telecommunications Engineering, Xidian University, Xi’an, Shaanxi, China; Academy of Military Sciences, Beijing, China; Academy of Military Sciences, Beijing, China; Academy of Military Sciences, Beijing, China; State Key Laboratory on ISN, School of Telecommunications Engineering, Xidian University, Xi’an, Shaanxi, China",IEEE Transactions on Cognitive Communications and Networking,7 Aug 2023,2023,9,4.0,950,962,"The application of deep learning improves the processing speed and the accuracy of automatic modulation recognition (AMR). As a result, it realizes intelligent spectrum management and electronic reconnaissance. However, deep learning-aided AMR usually requires a large number of labeled samples to obtain a reliable neural network model. In practical applications, due to economic costs and privacy constraints, there is a small number of labeled samples but a large number of unlabeled samples. This paper proposes a Transformer-based contrastive semi-supervised learning framework for AMR. First, self-supervised contrastive pre-training of the Transformer-based encoder is completed using unlabeled samples, and data augmentation is realized through time warping. Then, the pre-trained encoder and a randomly initialized classifier are fine-tuned using labeled samples, and hierarchical learning rates are employed to ensure classification accuracy. Considering the problems of applying Transformer to AMR, a convolutional transformer deep neural network is proposed, which involves convolutional embedding, attention bias, and attention pooling. In experiments, the feasibility of the framework is analyzed through linear evaluation of the framework components on the RML2016.10a dataset. Also, the proposed framework is compared with existing semi-supervised methods on RML2016.10a and RML2016.10b datasets to verify its superiority and stability.",2332-7731,,10.1109/TCCN.2023.3264908,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10093837,Automatic modulation recognition;semisupervised learning;contrastive learning;transformer network,Transformers;Feature extraction;Computational modeling;Convolution;Deep learning;Modulation;Time-frequency analysis,,4.0,,37.0,IEEE,5 Apr 2023,,,IEEE,IEEE Journals
Automatic Modulation Recognition of Underwater Acoustic Signals Using a Two-Stream Transformer,J. Li; Q. Jia; X. Cui; T. A. Gulliver; B. Jiang; S. Li; J. Yang,"College of Computer Science and Technology, China University of Petroleum (East China), Qingdao, China; College of Oceanography and Space Informatics, China University of Petroleum (East China), Qingdao, China; College of Oceanography and Space Informatics, China University of Petroleum (East China), Qingdao, China; Department of Electrical and Computer Engineering, University of Victoria, Victoria, BC, Canada; College of Oceanography and Space Informatics, China University of Petroleum (East China), Qingdao, China; College of Oceanography and Space Informatics, China University of Petroleum (East China), Qingdao, China; First Institute of Oceanography, Ministry of Natural Resources, Qingdao, China",IEEE Internet of Things Journal,9 May 2024,2024,11,10.0,18839,18851,"Automatic modulation recognition (AMR) of underwater acoustic (UWA) signals is incredibly challenging due to the complexity of UWA channels and the severity of ocean noise. In the presence of noise interference, single-modal features fail to fully represent the characteristics of different modulated signals. While the in-phase/quadrature (I/Q) and time–frequency maps can adequately represent the signal features in the time, frequency, and time–frequency domains, the direct integration of the two modalities is ineffective because of the variations in shape, information granularity, and noise manifestation. To address the low recognition rate caused by the above issues, we propose a two-stream transformer (TSTR)-based network for AMR of UWA signals. First, the input preprocessing layer obtains the I/Q and time–frequency features from the received signals. Then, the feature capture layer (FCL) extracts high-dimensional signal features in the time, frequency, and time–frequency domains. Finally, the classification layer estimates the modulation of the signals. A multihead self-attention module with adaptive soft thresholding is used in the FCL to provide noise reduction and redundant feature rejection while retaining context information. Moreover, multiscale ghost convolution is employed to address the inability of the transformer to efficiently extract spatial characteristics from the signals. Results are presented using real UWA channels from the Watermark data set for two different seas which show that the TSTR improves recognition by 1.2% and 5.9% over the best existing model. Further, it has better generalization capabilities and the model has a small number of parameters so the time complexity is low.",2327-4662,,10.1109/JIOT.2024.3367852,"National Natural Science Foundation of China(grant numbers:52171341,62231028); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10440437,Adaptive soft thresholding;automatic modulation recognition (AMR);multiscale ghost convolution;transformer,Feature extraction;Time-frequency analysis;Modulation;Transformers;Adaptation models;Convolution;Convolutional neural networks,,,,52.0,IEEE,20 Feb 2024,,,IEEE,IEEE Journals
Coordinated Grid-Forming Controller for Solid-State Transformer-Enabled PV Farms,M. A. Elshenawy; A. Radwan; Y. A. -R. I. Mohamed,"Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada; Engineering and Design Department, College of Science and Engineering, Western Washington University, Bellingham, WA, USA; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada",IEEE Transactions on Energy Conversion,28 Nov 2023,2023,38,4.0,2596,2611,"Grid-forming solid-state transformer (GFm-SST) is an emerging technology in modernized power grids that delivers the merits of SSTs and GFm control, thus, providing a compact, controllable, and grid-supporting means of renewable resources integration. This article presents a comprehensive and coordinated GFm controller for two-stage SST-interfaced solar photovoltaic (PV) systems. The controllers of both SST stages are coordinated, and a virtual governor is implemented within the coordinated reference generation stage so that the PV power directly interacts with grid-side frequency events while preserving minimal dc voltage variations. A bandgap ac voltage controller is proposed to ensure accurate reactive power sharing, even under parallel operation with line parameters mismatch, and reduced ${\bm{Q}}$–${\bm{P}}$ coupling. In addition, the proposed GFm-SST-PV system is equipped with a low-voltage ride-through controller to bypass faulty conditions safely. Furthermore, a linearized small-signal model of the whole system is developed, validated, and used to 1) investigate the system stability under broad variations of solar irradiance, power reserve, and control parameters and 2) provide guidelines for a coordinated design of all control parameters, considering all system dynamics and control loops interactions. Extensive time-domain simulations and hardware-in-the-loop real-time tests are conducted to verify all features and capabilities of the proposed configuration.",1558-0059,,10.1109/TEC.2023.3291661,Ministry of Higher Education of the Arab Republic of Egypt; Missions Sector; Natural Sciences and Engineering Research Council of Canada; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10171428,Grid support;grid-forming converters;PV generation;solid-state transformer;virtual synchronous machine,Voltage control;Power system stability;Transformers;Stability criteria;Generators;Photovoltaic systems,,1.0,,42.0,IEEE,3 Jul 2023,,,IEEE,IEEE Journals
